"region_code","total_policies","total_claims","claim_rate_pct"
"C18","242","26","10.74"
"C22","207","17","8.21"
"C14","3660","281","7.68"
"C4","665","51","7.67"
"C21","379","29","7.65"
"C19","952","71","7.46"
"C3","6101","433","7.10"
"C2","7342","520","7.08"
"C8","13654","954","6.99"
"C6","890","55","6.18"
"C11","1212","72","5.94"
"C5","6979","403","5.77"
"C16","401","23","5.74"
"C13","3423","195","5.70"
"C12","1589","87","5.48"
"C1","1468","76","5.18"
"C7","2167","109","5.03"
"C9","2734","136","4.97"
"C15","771","38","4.93"
"C10","3155","148","4.69"
"C20","109","5","4.59"
"C17","492","19","3.86"
